date,value
5/10/2021,139838655
5/11/2021,9188411
5/11/2021,112990115
5/11/2021,140760689
5/12/2021,9266062
5/12/2021,113582961
5/12/2021,141636737
5/13/2021,9352742
5/13/2021,114354242
5/13/2021,142692755
5/14/2021,9431604
5/14/2021,115127784
5/14/2021,143680891
5/15/2021,9558399
5/15/2021,116066454
5/15/2021,145007116
5/16/2021,9637126
5/16/2021,116798390
5/16/2021,146288690
5/17/2021,9697720
5/17/2021,117247242
5/17/2021,147265442
5/18/2021,9751200
5/18/2021,117620781
5/18/2021,147961277
5/19/2021,9836616
5/19/2021,118181211
5/19/2021,149068615
5/20/2021,9944636
5/20/2021,118904886
5/20/2021,150342238
5/21/2021,10051548
5/21/2021,119668669
5/21/2021,151668003
5/22/2021,10163242
5/22/2021,120493252
5/22/2021,153075845
5/23/2021,10265423
5/23/2021,121125577
5/23/2021,154119424
5/24/2021,10323402
5/24/2021,121500687
5/24/2021,154856445
5/25/2021,10381859
5/25/2021,121801185
5/25/2021,155394989
5/26/2021,10463078
5/26/2021,122339269
5/26/2021,156197160
